N,Rg,error
10,2.3819349568549133,0.14087527416836076
20,3.8588498789141368,0.5143255835940105
30,6.3034256172666545,0.7805303153626233
40,7.329450176626634,0.7365216391444478
50,9.116035327636379,1.3111723724790378
60,9.596114799596753,2.0068141709724503
70,11.522481814788929,2.395785375584478
80,14.123447860934487,1.5215670536304045
90,12.265639861130763,1.6991280130248865
100,14.84504165674359,2.9267234289576773
150,21.81678506902291,3.205281120223495
200,25.429165202361013,4.101324765010598
