N,Rg,error
10,4.12296277645661,0.14477265855993296
20,7.829068635347608,0.5159075172832293
30,9.845831149666562,1.2566110317240253
40,12.321722759301048,1.4820150704840314
50,14.684114386762905,1.4370889780237415
60,19.718264774618596,2.574835887798119
70,21.372011823836292,3.9274251298735456
80,27.339289698657048,2.5362233529619673
90,27.342109182024352,3.6523183716694034
100,29.814350816548995,4.298185319169453
150,44.4104091222556,6.53158879145284
200,54.376834861726195,4.991264983259026
